"20k COMPOUNDING MODEL  ▸  Same logic as 15k but starting at ₹20,000 per chain",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
145,598986.8494,636603.2235,37616.37414,1482.708088,36133.66605,7515.802539,28617.86352,14308.93176,14308.93176
146,613295.7812,651810.7562,38514.97506,1518.127845,36996.84721,7695.34422,29301.50299,14650.7515,14650.7515
147,627946.5326,667381.5749,39435.04225,1554.393729,37880.64852,7879.174892,30001.47363,15000.73681,15000.73681
148,642947.2695,683324.358,40377.08852,1591.525953,38785.56257,8067.397014,30718.16555,15359.08278,15359.08278
149,658306.3522,699647.9912,41341.63892,1629.545212,39712.09371,8260.115491,31451.97822,15725.98911,15725.98911
150,674032.3413,716361.5724,42329.23104,1668.472696,40660.75834,8457.437735,32203.32061,16101.6603,16101.6603
151,690134.0017,733474.417,43340.4153,1708.330102,41632.0852,8659.473722,32972.61148,16486.30574,16486.30574
152,706620.3074,750996.0627,44375.7553,1749.139644,42626.61566,8866.336057,33760.2796,16880.1398,16880.1398
153,723500.4472,768936.2753,45435.82808,1790.924067,43644.90402,9078.140035,34566.76398,17283.38199,17283.38199
154,740783.8292,787305.0537,46521.22447,1833.706659,44687.51781,9295.003705,35392.51411,17696.25705,17696.25705
155,758480.0862,806112.6357,47632.54942,1877.511266,45755.03815,9517.047935,36237.99021,18118.99511,18118.99511
156,776599.0813,825369.5037,48770.42231,1922.362302,46848.06001,9744.396481,37103.66353,18551.83176,18551.83176
157,795150.9131,845086.3905,49935.47734,1968.284764,47967.19258,9977.176056,37990.01652,18995.00826,18995.00826
158,814145.9214,865274.2852,51128.36386,2015.304248,49113.05961,10215.5164,38897.54321,19448.77161,19448.77161
159,833594.693,885944.4397,52349.74672,2063.446959,50286.29976,10459.55035,39826.74941,19913.3747,19913.3747
160,853508.0677,907108.3743,53600.30665,2112.73973,51487.56692,10709.41392,40778.153,20389.0765,20389.0765
161,873897.1442,928777.8848,54880.74065,2163.210035,52717.53062,10965.24637,41752.28425,20876.14213,20876.14213
162,894773.2863,950965.0487,56191.76238,2214.886002,53976.87638,11227.19029,42749.68609,21374.84305,21374.84305
