15k COMPOUNDING MODEL  ▸  Sequential 6.28% Profit Chain  ▸  Tax: 20% STCG (Post Budget Jul 2024)  ▸  Reinvestment: 50% of after-tax profit,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
KEY ASSUMPTIONS: Profit Target = 6.28% per trade | Brokerage = 0.25% both sides + ₹19 DP | Income Tax = 20% STCG (update if LTCG applies: 12.5% above ₹1.25L) | Self Dividend = 50% of after-tax profit reinvested next trade,,,,,,,,,
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
102,162784.4443,173007.30740204,10222.8631,402.9501021,9819.913001,2042.541904,7777.371097,3888.685549,3888.685549
103,166673.1299,177140.20245772,10467.07256,412.5759988,10054.49656,2091.335284,7963.161273,3981.580637,3981.580637
104,170654.7105,181371.8263194,10717.11582,422.4318442,10294.68398,2141.294267,8153.389709,4076.694854,4076.694854
105,174731.4054,185704.53765912,10973.13226,432.5231316,10540.60913,2192.446698,8348.162427,4174.081214,4174.081214
106,178905.4866,190140.75115848,11235.26456,442.8554852,10792.40907,2244.821087,8547.587985,4273.793992,4273.793992
107,183179.2806,194682.93942168,11503.65882,453.4346639,11050.22416,2298.446624,8751.777531,4375.888766,4375.888766
108,187555.1693,199333.63393204,11778.46463,464.266564,11314.19807,2353.353199,8960.844872,4480.422436,4480.422436
109,192035.5918,204095.42696504,12059.83516,475.3572224,11584.47794,2409.571412,9174.906529,4587.453264,4587.453264
110,196623.045,208970.972226,12347.92723,486.7128208,11861.21441,2467.132597,9394.081811,4697.040905,4697.040905
111,201320.0859,213962.98729452,12642.9014,498.3396879,12144.56171,2526.068835,9618.492874,4809.246437,4809.246437
112,206129.3324,219074.25447472,12944.92207,510.2443042,12434.67777,2586.412976,9848.264793,4924.132397,4924.132397
113,211053.4648,224307.62238944,13254.15759,522.4333046,12731.72428,2648.198651,10083.52563,5041.762816,5041.762816
114,216095.2276,229666.00789328,13570.78029,534.9134826,13035.86681,2711.460296,10324.40651,5162.203257,5162.203257
115,221257.4308,235152.39745424,13894.96666,547.691794,13347.27486,2776.233172,10571.04169,5285.520846,5285.520846
116,226542.9517,240769.84906676,14226.89737,560.7753609,13666.12201,2842.553377,10823.56863,5411.784314,5411.784314
117,231954.736,246521.4934208,14566.75742,574.1714753,13992.58595,2910.457877,11082.12807,5541.064035,5541.064035
118,237495.8,252410.53624,14914.73624,587.8876036,14326.84864,2979.984517,11346.86412,5673.432061,5673.432061
119,243169.2321,258440.25987588,15271.02778,601.9313904,14669.09639,3051.172048,11617.92434,5808.962169,5808.962169
120,248978.1943,264614.02490204,15635.8306,616.310663,15019.51994,3124.060147,11895.45979,5947.729895,5947.729895
121,254925.9242,270935.27223976,16009.34804,631.0334356,15378.3146,3198.689437,12179.62516,6089.812582,6089.812582
122,261015.7367,277407.52496476,16391.78827,646.1079141,15745.68035,3275.101514,12470.57884,6235.28942,6235.28942
123,267251.0262,284034.39064536,16783.36444,661.5425001,16121.82194,3353.338964,12768.48298,6384.241489,6384.241489
124,273635.2677,290819.56251156,17184.29481,677.3457961,16506.94901,3433.445395,13073.50362,6536.751809,6536.751809
125,280172.0195,297766.8223246,17594.80282,693.5266101,16901.27621,3515.465452,13385.81076,6692.90538,6692.90538
126,286864.9248,304880.04207744,18015.11728,710.0939604,17305.02332,3599.444851,13705.57847,6852.789235,6852.789235
127,293717.7141,312163.18654548,18445.47244,727.0570807,17718.41536,3685.430396,14032.98497,7016.492484,7016.492484
128,300734.2066,319620.31477448,18886.10817,744.4254256,18141.68275,3773.470011,14368.21274,7184.106368,7184.106368
129,307918.3129,327255.58295012,19337.27005,762.2086751,18575.06138,3863.612766,14711.44861,7355.724305,7355.724305
130,315274.0372,335073.24673616,19799.20954,780.4167408,19018.7928,3955.908902,15062.8839,7531.441948,7531.441948
131,322805.4792,343077.66329376,20272.18409,799.059771,19473.12432,4050.409859,15422.71446,7711.357231,7711.357231
132,330516.8364,351273.29372592,20756.45733,818.1481562,19938.30917,4147.168308,15791.14086,7895.570432,7895.570432
133,338412.4068,359664.70594704,21252.29915,837.6925354,20414.60661,4246.238176,16168.36844,8084.184219,8084.184219
134,346496.5911,368256.57702108,21759.98592,857.7038017,20902.28212,4347.67468,16554.60744,8277.303718,8277.303718
135,354773.8948,377053.69539344,22279.80059,878.1931082,21401.60748,4451.534357,16950.07313,8475.036564,8475.036564
136,363248.9313,386060.96418564,22812.03289,899.1718747,21912.86101,4557.875091,17354.98592,8677.492962,8677.492962
137,371926.4243,395283.40374604,23356.97945,920.6517937,22436.32765,4666.756152,17769.5715,8884.785751,8884.785751
138,380811.2101,404726.15409428,23914.94399,942.6448369,22972.29915,4778.238224,18194.06093,9097.030465,9097.030465
139,389908.2405,414394.4780034,24486.23751,965.1632623,23521.07424,4892.383442,18628.6908,9314.3454,9314.3454
140,399222.5859,424293.76429452,25071.1784,988.2196203,24082.95878,5009.255425,19073.70335,9536.851675,9536.851675
141,408759.4376,434429.53028128,25670.09268,1011.826761,24658.26592,5128.919311,19529.34661,9764.673304,9764.673304
142,418524.1109,444807.42506452,26283.31416,1035.997843,25247.31632,5251.441795,19995.87453,9997.937263,9997.937263
143,428522.0482,455433.23282696,26911.18463,1060.746337,25850.43829,5376.891164,20473.54712,10236.77356,10236.77356
144,438758.8217,466312.87570276,27554.054,1086.086037,26467.96797,5505.337337,20962.63063,10481.31532,10481.31532
145,449240.137,477452.4176036,28212.28061,1112.031066,27100.24954,5636.851905,21463.39764,10731.69882,10731.69882
146,459971.8359,488858.06719452,28886.23129,1138.595884,27747.63541,5771.508165,21976.12724,10988.06362,10988.06362
147,470959.8995,500536.1811886,29576.28169,1165.795297,28410.48639,5909.381169,22501.10522,11250.55261,11250.55261
148,482210.4521,512493.26849188,30282.81639,1193.644465,29089.17193,6050.547761,23038.62417,11519.31208,11519.31208
149,493729.7642,524735.99339176,31006.22919,1222.158909,29784.07028,6195.086619,23588.98366,11794.49183,11794.49183
150,505524.256,537271.1792768,31746.92328,1251.354522,30495.56876,6343.078301,24152.49045,12076.24523,12076.24523
151,517600.5012,550105.81267536,32505.31148,1281.247577,31224.0639,6494.605291,24729.45861,12364.7293,12364.7293
152,529965.2305,563247.0469754,33281.81648,1311.854733,31969.96175,6649.752043,25320.2097,12660.10485,12660.10485
153,542625.3354,576702.20646312,34076.87106,1343.19305,32733.67801,6808.605027,25925.07299,12962.53649,12962.53649
154,555587.8719,590478.79025532,34890.91835,1375.279995,33515.63836,6971.252779,26544.38558,13272.19279,13272.19279
155,568860.0647,604584.47676316,35724.41206,1408.13345,34316.27861,7137.785951,27178.49266,13589.24633,13589.24633
156,582449.311,619027.1277308,36577.81673,1441.771726,35136.045,7308.297361,27827.74764,13913.87382,13913.87382
